Product,Category,Sales,Profit,Date,Region
Laptop Pro 15,Electronics,1200,300,2024-01-15,North America
Smartphone X,Electronics,800,200,2024-01-16,Europe
Tablet Air,Electronics,500,100,2024-01-17,Asia
Office Desk,Furniture,450,120,2024-01-18,North America
Ergonomic Chair,Furniture,200,50,2024-01-19,Europe
Monitor 27inch,Electronics,350,80,2024-01-20,Asia
Wireless Keyboard,Electronics,80,20,2024-01-21,North America
Gaming Mouse,Electronics,30,10,2024-01-22,Europe
Desk Lamp,Furniture,45,15,2024-01-23,Asia
Bookshelf,Furniture,180,45,2024-01-24,North America
Laptop Pro 13,Electronics,950,240,2024-01-25,Europe
Smartphone Y,Electronics,650,160,2024-01-26,Asia
Tablet Mini,Electronics,300,70,2024-01-27,North America
Conference Table,Furniture,800,200,2024-01-28,Europe
Office Chair,Furniture,150,40,2024-01-29,Asia
Monitor 32inch,Electronics,450,100,2024-01-30,North America
Mechanical Keyboard,Electronics,120,30,2024-01-31,Europe
Trackball Mouse,Electronics,45,12,2024-02-01,Asia
Floor Lamp,Furniture,65,18,2024-02-02,North America
Storage Cabinet,Furniture,220,60,2024-02-03,Europe
Laptop Pro 17,Electronics,1400,350,2024-02-04,Asia
Smartphone Z,Electronics,900,220,2024-02-05,North America
Tablet Pro,Electronics,600,140,2024-02-06,Europe
Standing Desk,Furniture,550,150,2024-02-07,Asia
Executive Chair,Furniture,280,75,2024-02-08,North America
